status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
901254039928419_1401626593224492,,Atal Innovation Mission,photo,https://www.facebook.com/1269534143131857/photos/a.1306701049415166.1073741828.1269534143131857/1450994038319199/?type=3,2017-09-20 01:49:30,45,0,0,42,2,1,0,0,0,0
901254039928419_1401012263285925,Join #StartupIndia Learning & Development program to know all about the legal foundation of a #startup. www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1401012019952616/?type=3,2017-09-19 06:35:54,38,1,4,37,1,0,0,0,0,0
901254039928419_1400953729958445,Join #StartupIndia Learning & Development program & access your idea with respect to the market it caters to. www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1400953679958450/?type=3,2017-09-19 04:46:18,44,1,5,43,1,0,0,0,0,0
901254039928419_1400226223364529,Tier 2/3 cities marching ahead! #StartupIndia has given a great boost to the #startup culture in smaller cities!,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1400226150031203/?type=3,2017-09-18 04:40:20,60,6,7,56,3,1,0,0,0,0
901254039928419_1400173483369803,Shri. Suresh Prabhu emphasises that the best companies achieve success bcos. they adapt to change & start afresh. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1400173373369814/?type=3,2017-09-18 02:27:45,34,0,1,31,3,0,0,0,0,0
901254039928419_1398728543514297,NIDHI provides funding and incubation support to startups across the country. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1398728396847645/?type=3,2017-09-16 07:58:09,78,5,22,74,4,0,0,0,0,0
901254039928419_1398543666866118,"Atal Innovation Mission, promoting a culture of innovation & entrepreneurship.  #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1398543536866131/?type=3,2017-09-16 01:54:02,42,3,6,40,1,1,0,0,0,0
901254039928419_1397103890343429,"Watch Shri. Ramesh Abhishek, Secretary DIPP & start-ups talk about the benefits of #StartupIndia for Indian Entrepreneurs. #StartupThursday",StartupThursday on Benefits of StartupIndia for Indian Entrepr...,video,https://www.facebook.com/StartupIndia/videos/1397103890343429/,2017-09-14 08:01:38,95,5,14,89,5,1,0,0,0,0
901254039928419_1397013050352513,This #StartupThursday join us for the detailed information on all the benefits of #StartupIndia & #StartupIndiaHub.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1397012913685860/?type=3,2017-09-14 04:56:23,36,5,4,35,1,0,0,0,0,0
901254039928419_1396964353690716,The #StartupIndia States’ Conference is here. Stay tuned for all the updates.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1396964180357400/?type=3,2017-09-14 03:00:08,21,0,1,20,1,0,0,0,0,0
901254039928419_1395377053849446,"Second Start-up India States’ Conference, 12th Sept' 2017",StartupIndia States’Conference,video,https://www.facebook.com/StartupIndia/videos/1395377053849446/,2017-09-12 00:24:53,126,39,32,117,7,1,1,0,0,0
901254039928419_1395374903849661,startup India State Conference,,status,,2017-09-12 00:19:44,22,1,1,22,0,0,0,0,0,0
901254039928419_1395373540516464,We are live from the #startupindia States' Conference. Stay tuned for the updates. https://www.pscp.tv/w/1gqxvOVZlVaKB,Startup India @startupindia,link,https://www.pscp.tv/w/1gqxvOVZlVaKB,2017-09-12 00:16:34,38,1,3,38,0,0,0,0,0,0
901254039928419_1396963807024104,"C.R. Chaudhary, Minister of State, MoCI is the Chief Guest of #StartupIndia States' Conference.",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1396963673690784/?type=3,2017-09-14 02:58:47,10,0,1,9,1,0,0,0,0,0
901254039928419_1396963057024179,Shri. Suresh Prabhu calls #startups the change agents of the society. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1396962880357530/?type=3,2017-09-14 02:56:35,36,2,4,36,0,0,0,0,0,0
901254039928419_1393986210655197,Opportunity is knocking at your door. Are you going to answer? Say yes to the India-Israel Innovation Bridge here: bit.ly/2vXbyNh,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1393986063988545/?type=3,2017-09-10 07:46:17,37,3,8,33,3,1,0,0,0,0
901254039928419_1393985377321947,Innovate. Take risks. Live your passion. The challenge starts now: bit.ly/2vXbyNh,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1393985210655297/?type=3,2017-09-10 07:45:06,15,0,4,13,2,0,0,0,0,0
901254039928419_1393984247322060,"The only way to predict the future is to create it. Entrepreneurs, are you ready for the India Israel Innovation Bridge? bit.ly/2vXbyNh",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1393984070655411/?type=3,2017-09-10 07:43:06,55,4,11,54,0,1,0,0,0,0
901254039928419_1393059184081233,Your ideas have the power to change the world. Are you ready for the challenge? Start here: bit.ly/2uFBwD2,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1393059117414573/?type=3,2017-09-09 02:13:55,79,10,24,76,2,1,0,0,0,0
901254039928419_1393987817321703,"Gear up! The entire #startup ecosystem comes together for the
#StartupIndia States' Conference.",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1393987657321719/?type=3,2017-09-10 07:49:13,30,0,6,29,0,1,0,0,0,0
901254039928419_1393988510654967,"Get an insight on the role of states in promoting #startups at the
#StartupIndia  States' Conference.",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1393988230654995/?type=3,2017-09-10 07:50:23,12,0,2,11,0,1,0,0,0,0
901254039928419_1392447347475750,The #StartupIndia states’ conference is happening this month! Stay glued for more updates.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1392447280809090/?type=3,2017-09-08 05:32:59,135,9,17,129,3,0,3,0,0,0
901254039928419_1391813570872461,"This #StartupThursday, know all about the support provided to Biotech #startups. #StartupIndia",,video,https://www.facebook.com/StartupIndia/videos/1391813570872461/,2017-09-07 09:21:36,88,0,2,85,0,1,0,0,2,0
901254039928419_1391758857544599,Join the #StartupThursday session to know all about the benefits provided to biotech #startups by the #GOI. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1391758737544611/?type=3,2017-09-07 07:42:00,27,1,1,25,1,1,0,0,0,0
901254039928419_1391722330881585,"Watch out for the Startup India States' Conference, an insight on the agenda. #StartupIndia",,video,https://www.facebook.com/StartupIndia/videos/1391722330881585/,2017-09-07 06:41:24,13,1,2,13,0,0,0,0,0,0
901254039928419_1391721967548288,This #StartupThursday get info on the support provided to Biotech #startups. Tune in today to know more. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1391721880881630/?type=3,2017-09-07 06:37:23,11,0,3,11,0,0,0,0,0,0
901254039928419_1390875070966311,Join us for a live session on #StartupIndia with Suresh Prabhu,,video,https://www.facebook.com/StartupIndia/videos/1390875070966311/,2017-09-06 01:40:00,486,59,50,458,25,0,1,1,1,0
901254039928419_1390290024358149,#StartupIndia salutes all the teachers and wish them a very #HappyTeachersDay,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1390289981024820/?type=3,2017-09-05 08:06:25,39,0,4,39,0,0,0,0,0,0
901254039928419_1386552548065230,This #StartupThursday know more on the upcoming #StartupIndia States' conference. Post your queries/suggestions to know more.,,video,https://www.facebook.com/StartupIndia/videos/1386552548065230/,2017-08-31 13:20:35,85,6,2,82,2,1,0,0,0,0
